Ticker,IsCurncyFixing,CurncyFixingQuoteFormat,date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,TURNOVER,CUR_MKT_CAP,SHORT_INT,EQY_SH_OUT,EQY_FLOAT,EQY_WEIGHTED_AVG_PX,AVERAGE_BID_ASK_SPREAD_%,BEST_EPS,PE_RATIO,BEST_SALES,SALES_REV_TURN,BEST_PE_RATIO,BEST_EBITDA,EQY_DVD_YLD_IND,BEST_TARGET_PRICE,NET_INCOME,BOOK_VAL_PER_SH
701 HK Equity,False,,2016-12-28,0.642,0.642,0.632,0.632,2000.0,1300.0,1218.3588,,1903.686,1062.888,0.6422,,,12.5372,,,,,1.5816,,,
701 HK Equity,False,,2016-12-29,0.632,0.632,0.632,0.632,,,1218.3588,,1903.686,1062.888,,,,12.5372,,,,,1.5816,,,
701 HK Equity,False,,2016-12-30,0.622,0.622,0.622,0.622,36000.0,22680.0,1199.322,,1903.686,1062.888,0.6224,,,13.5051,,,,,1.6067,,,
701 HK Equity,False,,2016-12-31,,,,,,,,,,,,,,,,696.096,,,,,56.896,0.7762
701 HK Equity,False,,2017-01-01,,,,,,,,,,,,,,,,,,,,,,
701 HK Equity,False,,2017-01-02,,,,,,,,,,,,,,,,,,,,,,
701 HK Equity,False,,2017-01-03,0.603,0.613,0.603,0.613,14000.0,8640.0,1180.2851,,1903.686,1062.888,0.6097,4.6554,,13.2907,,,,,1.6326,,,
701 HK Equity,False,,2017-01-04,0.603,0.642,0.603,0.603,490000.0,301280.0,1161.2483,,1903.686,1062.888,0.6074,3.551,,13.0764,,,,,1.6593,,,
701 HK Equity,False,,2017-01-05,0.603,0.622,0.603,0.603,298000.0,181900.0,1161.2483,,1903.686,1062.888,0.603,3.0116,,13.0764,,,,,1.6593,,,
701 HK Equity,False,,2017-01-06,0.593,0.613,0.583,0.613,330000.0,198080.0,1180.2851,,1903.686,1062.888,0.593,4.2283,,13.2907,,,,,1.6326,,,
701 HK Equity,False,,2017-01-07,,,,,,,,,,,,,,,,,,,,,,
701 HK Equity,False,,2017-01-08,,,,,,,,,,,,,,,,,,,,,,
701 HK Equity,False,,2017-01-09,0.583,0.613,0.583,0.593,106000.0,64460.0,1142.2114,,1903.686,1062.888,0.6008,2.9461,,12.862,,,,,1.687,,,
701 HK Equity,False,,2017-01-10,0.583,0.613,0.583,0.603,376000.0,226260.0,1161.2483,,1903.686,1062.888,0.5945,2.9039,,13.0764,,,,,1.6593,,,
701 HK Equity,False,,2017-01-11,0.593,0.632,0.593,0.603,80340.0,49660.6,1161.2483,,1903.686,1062.888,0.6108,2.9869,,13.0764,,,,,1.6593,,,
701 HK Equity,False,,2017-01-12,0.603,0.613,0.603,0.603,314000.0,192100.0,1161.2483,,1903.686,1062.888,0.6044,2.1417,,13.0764,,,,,1.6593,,,
701 HK Equity,False,,2017-01-13,0.593,0.603,0.583,0.593,430000.0,260140.0,1142.2114,,1903.686,1062.888,0.5977,2.3036,,12.862,,,,,1.687,,,
701 HK Equity,False,,2017-01-14,,,,,,,,,,,,,,,,,,,,,,
701 HK Equity,False,,2017-01-15,,,,,,,,,,,,,,,,,,,,,,
701 HK Equity,False,,2017-01-16,0.593,0.593,0.593,0.593,16000.0,9600.0,1142.2114,,1903.686,1062.888,0.5928,1.7852999999999999,,12.862,,,,,1.687,,,
