Ticker,IsCurncyFixing,CurncyFixingQuoteFormat,date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,TURNOVER,CUR_MKT_CAP,SHORT_INT,EQY_SH_OUT,EQY_FLOAT,EQY_WEIGHTED_AVG_PX,AVERAGE_BID_ASK_SPREAD_%,BEST_EPS,PE_RATIO,BEST_SALES,SALES_REV_TURN,BEST_PE_RATIO,BEST_EBITDA,EQY_DVD_YLD_IND,BEST_TARGET_PRICE,NET_INCOME,BOOK_VAL_PER_SH
BAHOLQ HK Equity,False,,2016-12-28,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2016-12-29,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2016-12-30,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2016-12-31,,,,,,,,,,,,,,,,47.978,,,,,8.174,
BAHOLQ HK Equity,False,,2017-01-01,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-01-02,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-01-03,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-01-04,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-01-05,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-01-06,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-01-07,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-01-08,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-01-09,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-01-10,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-01-11,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-01-12,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-01-13,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-01-14,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-01-15,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-01-16,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-01-17,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-01-18,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-01-19,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-01-20,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-01-21,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-01-22,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-01-23,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-01-24,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-01-25,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-01-26,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-01-27,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-01-28,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-01-29,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-01-30,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-01-31,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-02-01,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-02-02,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-02-03,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-02-04,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-02-05,,,,,,,,,,,,,,,,,,,,,,
BAHOLQ HK Equity,False,,2017-02-06,,,,,,,,,,,,,,,,,,,,,,
