Ticker,IsCurncyFixing,CurncyFixingQuoteFormat,date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,TURNOVER,CUR_MKT_CAP,SHORT_INT,EQY_SH_OUT,EQY_FLOAT,EQY_WEIGHTED_AVG_PX,AVERAGE_BID_ASK_SPREAD_%,BEST_EPS,PE_RATIO,BEST_SALES,SALES_REV_TURN,BEST_PE_RATIO,BEST_EBITDA,EQY_DVD_YLD_IND,BEST_TARGET_PRICE,NET_INCOME,BOOK_VAL_PER_SH
CHPERQ HK Equity,False,,2016-12-28,,,,,,,,,,,,,,,,,,,,,,
CHPERQ HK Equity,False,,2016-12-29,,,,,,,,,,,,,,,,,,,,,,
CHPERQ HK Equity,False,,2016-12-30,,,,,,,,,,,,,,,,,,,,,,
CHPERQ HK Equity,False,,2016-12-31,,,,,,,,,,,,,,,,,,,,,,
CHPERQ HK Equity,False,,2017-01-01,,,,,,,,,,,,,,,,,,,,,,
CHPERQ HK Equity,False,,2017-01-02,,,,,,,,,,,,,,,,,,,,,,
CHPERQ HK Equity,False,,2017-01-03,,,,,,,,,,,,,,,,,,,,,,
CHPERQ HK Equity,False,,2017-01-04,,,,,,,,,,,,,,,,,,,,,,
CHPERQ HK Equity,False,,2017-01-05,,,,,,,,,,,,,,,,,,,,,,
CHPERQ HK Equity,False,,2017-01-06,,,,,,,,,,,,,,,,,,,,,,
CHPERQ HK Equity,False,,2017-01-07,,,,,,,,,,,,,,,,,,,,,,
CHPERQ HK Equity,False,,2017-01-08,,,,,,,,,,,,,,,,,,,,,,
CHPERQ HK Equity,False,,2017-01-09,,,,,,,,,,,,,,,,,,,,,,
CHPERQ HK Equity,False,,2017-01-10,,,,,,,,,,,,,,,,,,,,,,
CHPERQ HK Equity,False,,2017-01-11,,,,,,,,,,,,,,,,,,,,,,
CHPERQ HK Equity,False,,2017-01-12,,,,,,,,,,,,,,,,,,,,,,
CHPERQ HK Equity,False,,2017-01-13,,,,,,,,,,,,,,,,,,,,,,
CHPERQ HK Equity,False,,2017-01-14,,,,,,,,,,,,,,,,,,,,,,
CHPERQ HK Equity,False,,2017-01-15,,,,,,,,,,,,,,,,,,,,,,
CHPERQ HK Equity,False,,2017-01-16,,,,,,,,,,,,,,,,,,,,,,
CHPERQ HK Equity,False,,2017-01-17,,,,,,,,,,,,,,,,,,,,,,
CHPERQ HK Equity,False,,2017-01-18,,,,,,,,,,,,,,,,,,,,,,
CHPERQ HK Equity,False,,2017-01-19,,,,,,,,,,,,,,,,,,,,,,
CHPERQ HK Equity,False,,2017-01-20,,,,,,,,,,,,,,,,,,,,,,
CHPERQ HK Equity,False,,2017-01-21,,,,,,,,,,,,,,,,,,,,,,
CHPERQ HK Equity,False,,2017-01-22,,,,,,,,,,,,,,,,,,,,,,
CHPERQ HK Equity,False,,2017-01-23,,,,,,,,,,,,,,,,,,,,,,
CHPERQ HK Equity,False,,2017-01-24,,,,,,,,,,,,,,,,,,,,,,
CHPERQ HK Equity,False,,2017-01-25,,,,,,,,,,,,,,,,,,,,,,
CHPERQ HK Equity,False,,2017-01-26,,,,,,,,,,,,,,,,,,,,,,
CHPERQ HK Equity,False,,2017-01-27,,,,,,,,,,,,,,,,,,,,,,
CHPERQ HK Equity,False,,2017-01-28,,,,,,,,,,,,,,,,,,,,,,
