Ticker,IsCurncyFixing,CurncyFixingQuoteFormat,date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,TURNOVER,CUR_MKT_CAP,SHORT_INT,EQY_SH_OUT,EQY_FLOAT,EQY_WEIGHTED_AVG_PX,AVERAGE_BID_ASK_SPREAD_%,BEST_EPS,PE_RATIO,BEST_SALES,SALES_REV_TURN,BEST_PE_RATIO,BEST_EBITDA,EQY_DVD_YLD_IND,BEST_TARGET_PRICE,NET_INCOME,BOOK_VAL_PER_SH
CRCHLQ HK Equity,False,,2016-12-28,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2016-12-29,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2016-12-30,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2016-12-31,,,,,,,,,,,,,,,,25647.464,,,,,1325.855,3.9809
CRCHLQ HK Equity,False,,2017-01-01,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-01-02,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-01-03,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-01-04,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-01-05,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-01-06,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-01-07,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-01-08,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-01-09,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-01-10,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-01-11,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-01-12,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-01-13,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-01-14,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-01-15,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-01-16,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-01-17,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-01-18,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-01-19,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-01-20,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-01-21,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-01-22,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-01-23,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-01-24,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-01-25,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-01-26,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-01-27,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-01-28,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-01-29,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-01-30,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-01-31,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-02-01,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-02-02,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-02-03,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-02-04,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-02-05,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-02-06,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-02-07,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-02-08,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-02-09,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-02-10,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-02-11,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-02-12,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-02-13,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-02-14,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-02-15,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-02-16,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-02-17,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-02-18,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-02-19,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-02-20,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-02-21,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-02-22,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-02-23,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-02-24,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-02-25,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-02-26,,,,,,,,,,,,,,,,,,,,,,
CRCHLQ HK Equity,False,,2017-02-27,,,,,,,,,,,,,,,,,,,,,,
