Ticker,IsCurncyFixing,CurncyFixingQuoteFormat,date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,TURNOVER,CUR_MKT_CAP,SHORT_INT,EQY_SH_OUT,EQY_FLOAT,EQY_WEIGHTED_AVG_PX,AVERAGE_BID_ASK_SPREAD_%,BEST_EPS,PE_RATIO,BEST_SALES,SALES_REV_TURN,BEST_PE_RATIO,BEST_EBITDA,EQY_DVD_YLD_IND,BEST_TARGET_PRICE,NET_INCOME,BOOK_VAL_PER_SH
CSTECQ HK Equity,False,,2016-12-28,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2016-12-29,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2016-12-30,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2016-12-31,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-01-01,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-01-02,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-01-03,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-01-04,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-01-05,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-01-06,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-01-07,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-01-08,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-01-09,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-01-10,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-01-11,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-01-12,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-01-13,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-01-14,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-01-15,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-01-16,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-01-17,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-01-18,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-01-19,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-01-20,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-01-21,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-01-22,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-01-23,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-01-24,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-01-25,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-01-26,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-01-27,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-01-28,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-01-29,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-01-30,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-01-31,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-02-01,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-02-02,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-02-03,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-02-04,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-02-05,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-02-06,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-02-07,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-02-08,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-02-09,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-02-10,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-02-11,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-02-12,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-02-13,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-02-14,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-02-15,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-02-16,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-02-17,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-02-18,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-02-19,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-02-20,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-02-21,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-02-22,,,,,,,,,,,,,,,,,,,,,,
CSTECQ HK Equity,False,,2017-02-23,,,,,,,,,,,,,,,,,,,,,,
