Ticker,IsCurncyFixing,CurncyFixingQuoteFormat,date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,TURNOVER,CUR_MKT_CAP,SHORT_INT,EQY_SH_OUT,EQY_FLOAT,EQY_WEIGHTED_AVG_PX,AVERAGE_BID_ASK_SPREAD_%,BEST_EPS,PE_RATIO,BEST_SALES,SALES_REV_TURN,BEST_PE_RATIO,BEST_EBITDA,EQY_DVD_YLD_IND,BEST_TARGET_PRICE,NET_INCOME,BOOK_VAL_PER_SH
CSTINQ HK Equity,False,,2016-12-28,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2016-12-29,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2016-12-30,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2016-12-31,,,,,,,,,,,,,,,,67.241,,,,,-51.818,
CSTINQ HK Equity,False,,2017-01-01,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-01-02,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-01-03,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-01-04,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-01-05,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-01-06,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-01-07,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-01-08,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-01-09,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-01-10,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-01-11,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-01-12,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-01-13,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-01-14,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-01-15,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-01-16,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-01-17,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-01-18,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-01-19,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-01-20,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-01-21,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-01-22,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-01-23,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-01-24,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-01-25,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-01-26,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-01-27,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-01-28,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-01-29,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-01-30,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-01-31,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-02-01,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-02-02,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-02-03,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-02-04,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-02-05,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-02-06,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-02-07,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-02-08,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-02-09,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-02-10,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-02-11,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-02-12,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-02-13,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-02-14,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-02-15,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-02-16,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-02-17,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-02-18,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-02-19,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-02-20,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-02-21,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-02-22,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-02-23,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-02-24,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-02-25,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-02-26,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-02-27,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-02-28,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-03-01,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-03-02,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-03-03,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-03-04,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-03-05,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-03-06,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-03-07,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-03-08,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-03-09,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-03-10,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-03-11,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-03-12,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-03-13,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-03-14,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-03-15,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-03-16,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-03-17,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-03-18,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-03-19,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-03-20,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-03-21,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-03-22,,,,,,,,,,,,,,,,,,,,,,
CSTINQ HK Equity,False,,2017-03-23,,,,,,,,,,,,,,,,,,,,,,
