Ticker,IsCurncyFixing,CurncyFixingQuoteFormat,date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,TURNOVER,CUR_MKT_CAP,SHORT_INT,EQY_SH_OUT,EQY_FLOAT,EQY_WEIGHTED_AVG_PX,AVERAGE_BID_ASK_SPREAD_%,BEST_EPS,PE_RATIO,BEST_SALES,SALES_REV_TURN,BEST_PE_RATIO,BEST_EBITDA,EQY_DVD_YLD_IND,BEST_TARGET_PRICE,NET_INCOME,BOOK_VAL_PER_SH
GREENQ HK Equity,False,,2016-12-28,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2016-12-29,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2016-12-30,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2016-12-31,,,,,,,,,,,,,,,,99.167,,,,,352.858,
GREENQ HK Equity,False,,2017-01-01,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-01-02,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-01-03,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-01-04,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-01-05,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-01-06,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-01-07,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-01-08,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-01-09,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-01-10,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-01-11,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-01-12,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-01-13,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-01-14,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-01-15,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-01-16,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-01-17,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-01-18,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-01-19,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-01-20,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-01-21,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-01-22,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-01-23,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-01-24,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-01-25,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-01-26,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-01-27,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-01-28,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-01-29,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-01-30,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-01-31,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-02-01,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-02-02,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-02-03,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-02-04,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-02-05,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-02-06,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-02-07,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-02-08,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-02-09,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-02-10,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-02-11,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-02-12,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-02-13,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-02-14,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-02-15,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-02-16,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-02-17,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-02-18,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-02-19,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-02-20,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-02-21,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-02-22,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-02-23,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-02-24,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-02-25,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-02-26,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-02-27,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-02-28,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-03-01,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-03-02,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-03-03,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-03-04,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-03-05,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-03-06,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-03-07,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-03-08,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-03-09,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-03-10,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-03-11,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-03-12,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-03-13,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-03-14,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-03-15,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-03-16,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-03-17,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-03-18,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-03-19,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-03-20,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-03-21,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-03-22,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-03-23,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-03-24,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-03-25,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-03-26,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-03-27,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-03-28,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-03-29,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-03-30,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-03-31,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-04-01,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-04-02,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-04-03,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-04-04,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-04-05,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-04-06,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-04-07,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-04-08,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-04-09,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-04-10,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-04-11,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-04-12,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-04-13,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-04-14,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-04-15,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-04-16,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-04-17,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-04-18,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-04-19,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-04-20,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-04-21,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-04-22,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-04-23,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-04-24,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-04-25,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-04-26,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-04-27,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-04-28,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-04-29,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-04-30,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-05-01,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-05-02,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-05-03,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-05-04,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-05-05,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-05-06,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-05-07,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-05-08,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-05-09,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-05-10,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-05-11,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-05-12,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-05-13,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-05-14,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-05-15,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-05-16,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-05-17,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-05-18,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-05-19,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-05-20,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-05-21,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-05-22,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-05-23,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-05-24,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-05-25,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-05-26,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-05-27,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-05-28,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-05-29,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-05-30,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-05-31,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-06-01,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-06-02,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-06-03,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-06-04,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-06-05,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-06-06,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-06-07,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-06-08,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-06-09,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-06-10,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-06-11,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-06-12,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-06-13,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-06-14,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-06-15,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-06-16,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-06-17,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-06-18,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-06-19,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-06-20,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-06-21,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-06-22,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-06-23,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-06-24,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-06-25,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-06-26,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-06-27,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-06-28,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-06-29,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-06-30,,,,,,,,,,,,,,,,269.092,,,,,-116.684,
GREENQ HK Equity,False,,2017-07-01,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-07-02,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-07-03,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-07-04,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-07-05,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-07-06,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-07-07,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-07-08,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-07-09,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-07-10,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-07-11,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-07-12,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-07-13,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-07-14,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-07-15,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-07-16,,,,,,,,,,,,,,,,,,,,,,
GREENQ HK Equity,False,,2017-07-17,,,,,,,,,,,,,,,,,,,,,,
