Ticker,IsCurncyFixing,CurncyFixingQuoteFormat,date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,TURNOVER,CUR_MKT_CAP,SHORT_INT,EQY_SH_OUT,EQY_FLOAT,EQY_WEIGHTED_AVG_PX,AVERAGE_BID_ASK_SPREAD_%,BEST_EPS,PE_RATIO,BEST_SALES,SALES_REV_TURN,BEST_PE_RATIO,BEST_EBITDA,EQY_DVD_YLD_IND,BEST_TARGET_PRICE,NET_INCOME,BOOK_VAL_PER_SH
PFHLQ HK Equity,False,,2016-12-28,,,,,,,,,,,,,,,,,,,,,,
PFHLQ HK Equity,False,,2016-12-29,,,,,,,,,,,,,,,,,,,,,,
PFHLQ HK Equity,False,,2016-12-30,,,,,,,,,,,,,,,,,,,,,,
PFHLQ HK Equity,False,,2016-12-31,,,,,,,,,,,,,,,,,,,,,,
PFHLQ HK Equity,False,,2017-01-01,,,,,,,,,,,,,,,,,,,,,,
PFHLQ HK Equity,False,,2017-01-02,,,,,,,,,,,,,,,,,,,,,,
PFHLQ HK Equity,False,,2017-01-03,,,,,,,,,,,,,,,,,,,,,,
PFHLQ HK Equity,False,,2017-01-04,,,,,,,,,,,,,,,,,,,,,,
PFHLQ HK Equity,False,,2017-01-05,,,,,,,,,,,,,,,,,,,,,,
PFHLQ HK Equity,False,,2017-01-06,,,,,,,,,,,,,,,,,,,,,,
PFHLQ HK Equity,False,,2017-01-07,,,,,,,,,,,,,,,,,,,,,,
PFHLQ HK Equity,False,,2017-01-08,,,,,,,,,,,,,,,,,,,,,,
PFHLQ HK Equity,False,,2017-01-09,,,,,,,,,,,,,,,,,,,,,,
PFHLQ HK Equity,False,,2017-01-10,,,,,,,,,,,,,,,,,,,,,,
PFHLQ HK Equity,False,,2017-01-11,,,,,,,,,,,,,,,,,,,,,,
PFHLQ HK Equity,False,,2017-01-12,,,,,,,,,,,,,,,,,,,,,,
PFHLQ HK Equity,False,,2017-01-13,,,,,,,,,,,,,,,,,,,,,,
PFHLQ HK Equity,False,,2017-01-14,,,,,,,,,,,,,,,,,,,,,,
PFHLQ HK Equity,False,,2017-01-15,,,,,,,,,,,,,,,,,,,,,,
PFHLQ HK Equity,False,,2017-01-16,,,,,,,,,,,,,,,,,,,,,,
PFHLQ HK Equity,False,,2017-01-17,,,,,,,,,,,,,,,,,,,,,,
PFHLQ HK Equity,False,,2017-01-18,,,,,,,,,,,,,,,,,,,,,,
PFHLQ HK Equity,False,,2017-01-19,,,,,,,,,,,,,,,,,,,,,,
PFHLQ HK Equity,False,,2017-01-20,,,,,,,,,,,,,,,,,,,,,,
