Ticker,IsCurncyFixing,CurncyFixingQuoteFormat,date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,TURNOVER,CUR_MKT_CAP,SHORT_INT,EQY_SH_OUT,EQY_FLOAT,EQY_WEIGHTED_AVG_PX,AVERAGE_BID_ASK_SPREAD_%,BEST_EPS,PE_RATIO,BEST_SALES,SALES_REV_TURN,BEST_PE_RATIO,BEST_EBITDA,EQY_DVD_YLD_IND,BEST_TARGET_PRICE,NET_INCOME,BOOK_VAL_PER_SH
TCLCTQ HK Equity,False,,2016-12-28,,,,,,,,,,,,,0.7,,26623.0,,,2434.0,,,,
TCLCTQ HK Equity,False,,2016-12-29,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2016-12-30,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2016-12-31,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-01-01,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-01-02,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-01-03,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-01-04,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-01-05,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-01-06,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-01-07,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-01-08,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-01-09,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-01-10,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-01-11,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-01-12,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-01-13,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-01-14,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-01-15,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-01-16,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-01-17,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-01-18,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-01-19,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-01-20,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-01-21,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-01-22,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-01-23,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-01-24,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-01-25,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-01-26,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-01-27,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-01-28,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-01-29,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-01-30,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-01-31,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-02-01,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-02-02,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-02-03,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-02-04,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-02-05,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-02-06,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-02-07,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-02-08,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-02-09,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-02-10,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-02-11,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-02-12,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-02-13,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-02-14,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-02-15,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-02-16,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-02-17,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-02-18,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-02-19,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-02-20,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-02-21,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-02-22,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-02-23,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-02-24,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-02-25,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-02-26,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-02-27,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-02-28,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-03-01,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-03-02,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-03-03,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-03-04,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-03-05,,,,,,,,,,,,,,,,,,,,,,
TCLCTQ HK Equity,False,,2017-03-06,,,,,,,,,,,,,,,,,,,,,,
