Ticker,IsCurncyFixing,CurncyFixingQuoteFormat,date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,TURNOVER,CUR_MKT_CAP,SHORT_INT,EQY_SH_OUT,EQY_FLOAT,EQY_WEIGHTED_AVG_PX,AVERAGE_BID_ASK_SPREAD_%,BEST_EPS,PE_RATIO,BEST_SALES,SALES_REV_TURN,BEST_PE_RATIO,BEST_EBITDA,EQY_DVD_YLD_IND,BEST_TARGET_PRICE,NET_INCOME,BOOK_VAL_PER_SH
XLMEDQ HK Equity,False,,2016-12-28,,,,,,,,,,,,,,,,,,,,,,
XLMEDQ HK Equity,False,,2016-12-29,,,,,,,,,,,,,,,,,,,,,,
XLMEDQ HK Equity,False,,2016-12-30,,,,,,,,,,,,,,,,,,,,,,
XLMEDQ HK Equity,False,,2016-12-31,,,,,,,,,,,,,,,,6.76,,,,,-16.101,
XLMEDQ HK Equity,False,,2017-01-01,,,,,,,,,,,,,,,,,,,,,,
XLMEDQ HK Equity,False,,2017-01-02,,,,,,,,,,,,,,,,,,,,,,
XLMEDQ HK Equity,False,,2017-01-03,,,,,,,,,,,,,,,,,,,,,,
XLMEDQ HK Equity,False,,2017-01-04,,,,,,,,,,,,,,,,,,,,,,
XLMEDQ HK Equity,False,,2017-01-05,,,,,,,,,,,,,,,,,,,,,,
XLMEDQ HK Equity,False,,2017-01-06,,,,,,,,,,,,,,,,,,,,,,
XLMEDQ HK Equity,False,,2017-01-07,,,,,,,,,,,,,,,,,,,,,,
XLMEDQ HK Equity,False,,2017-01-08,,,,,,,,,,,,,,,,,,,,,,
XLMEDQ HK Equity,False,,2017-01-09,,,,,,,,,,,,,,,,,,,,,,
XLMEDQ HK Equity,False,,2017-01-10,,,,,,,,,,,,,,,,,,,,,,
XLMEDQ HK Equity,False,,2017-01-11,,,,,,,,,,,,,,,,,,,,,,
XLMEDQ HK Equity,False,,2017-01-12,,,,,,,,,,,,,,,,,,,,,,
XLMEDQ HK Equity,False,,2017-01-13,,,,,,,,,,,,,,,,,,,,,,
XLMEDQ HK Equity,False,,2017-01-14,,,,,,,,,,,,,,,,,,,,,,
XLMEDQ HK Equity,False,,2017-01-15,,,,,,,,,,,,,,,,,,,,,,
XLMEDQ HK Equity,False,,2017-01-16,,,,,,,,,,,,,,,,,,,,,,
XLMEDQ HK Equity,False,,2017-01-17,,,,,,,,,,,,,,,,,,,,,,
XLMEDQ HK Equity,False,,2017-01-18,,,,,,,,,,,,,,,,,,,,,,
XLMEDQ HK Equity,False,,2017-01-19,,,,,,,,,,,,,,,,,,,,,,
XLMEDQ HK Equity,False,,2017-01-20,,,,,,,,,,,,,,,,,,,,,,
XLMEDQ HK Equity,False,,2017-01-21,,,,,,,,,,,,,,,,,,,,,,
XLMEDQ HK Equity,False,,2017-01-22,,,,,,,,,,,,,,,,,,,,,,
XLMEDQ HK Equity,False,,2017-01-23,,,,,,,,,,,,,,,,,,,,,,
XLMEDQ HK Equity,False,,2017-01-24,,,,,,,,,,,,,,,,,,,,,,
XLMEDQ HK Equity,False,,2017-01-25,,,,,,,,,,,,,,,,,,,,,,
XLMEDQ HK Equity,False,,2017-01-26,,,,,,,,,,,,,,,,,,,,,,
XLMEDQ HK Equity,False,,2017-01-27,,,,,,,,,,,,,,,,,,,,,,
