Ticker,IsCurncyFixing,CurncyFixingQuoteFormat,date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,TURNOVER,CUR_MKT_CAP,SHORT_INT,EQY_SH_OUT,EQY_FLOAT,EQY_WEIGHTED_AVG_PX,AVERAGE_BID_ASK_SPREAD_%,BEST_EPS,PE_RATIO,BEST_SALES,SALES_REV_TURN,BEST_PE_RATIO,BEST_EBITDA,EQY_DVD_YLD_IND,BEST_TARGET_PRICE,NET_INCOME,BOOK_VAL_PER_SH
ZHINHQ HK Equity,False,,2016-12-28,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2016-12-29,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2016-12-30,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2016-12-31,,,,,,,,,,,,,,,,17.48,,,,,61.076,
ZHINHQ HK Equity,False,,2017-01-01,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2017-01-02,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2017-01-03,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2017-01-04,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2017-01-05,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2017-01-06,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2017-01-07,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2017-01-08,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2017-01-09,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2017-01-10,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2017-01-11,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2017-01-12,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2017-01-13,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2017-01-14,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2017-01-15,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2017-01-16,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2017-01-17,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2017-01-18,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2017-01-19,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2017-01-20,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2017-01-21,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2017-01-22,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2017-01-23,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2017-01-24,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2017-01-25,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2017-01-26,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2017-01-27,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2017-01-28,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2017-01-29,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2017-01-30,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2017-01-31,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2017-02-01,,,,,,,,,,,,,,,,,,,,,,
ZHINHQ HK Equity,False,,2017-02-02,,,,,,,,,,,,,,,,,,,,,,
