type,type_num,size_adv,size_out_pct,days_fm_last,mkt_cap,return_30d_num,return 30d,return 90d,name,code,director,date,shares,rec_date
BUY,1,0.118153904,0.00634598,0,2773,-1,-0.02,0.13,Hoifu Energy Group Ltd.,7,Hui Chi Ming,3/7/2017,"160,000",20170929
BUY,1,0.118153904,0.00634598,0,2773,-1,-0.02,0.13,Hoifu Energy Group Ltd.,7,Hui Chi Ming,3/7/2017,"160,000",20180102
SELL,-1,0.057625894,0.009901382,0,113116,1,0.07,0.12,New World Development Co. Ltd.,17,DOO WAI HOI WILLIAM,3/7/2017,"1,000,000",20170706
BUY,1,0.177274387,0.011737416,0,4141,-1,-0.12,-0.25,China Baoli Technologies Holdings Ltd.,164,Yeung Chun Wai Anthony,3/7/2017,"4,050,000",20171218
BUY,1,1.980150424,0.057568794,0,420,-1,-0.1,-0.14,Goldbond Group Holdings Ltd.,172,"Wong Yu Lung, Charles",3/7/2017,"1,590,000",20170704
BUY,1,1.980150424,0.057568794,0,420,-1,-0.1,-0.14,Goldbond Group Holdings Ltd.,172,"Wong Yu Lung, Charles",3/7/2017,"1,590,000",20170704
BUY,1,0.797592253,0.020877983,0,196,-1,-0.03,-0.04,HKC International Holdings Ltd.,248,Chan Chung Yin Roy,3/7/2017,"260,000",20170704
SELL,-1,0.092355605,0.028016351,0,1263,-1,-0.13,-0.15,Kin Yat Holdings Ltd.,638,"FUNG WAH CHEONG, VINCENT",3/7/2017,"122,000",20170718
BUY,1,0.037909633,0.004533153,0,2912,-1,-0.04,0.27,Tenwow International Holdings Ltd.,1219,Shen Yalong,3/7/2017,"100,000",20170724
BUY,1,0.097405412,0.006846534,0,1709,1,0.17,-0.15,Best Food Holding Co. Ltd.,1488,LEUNG Kwai Kei,3/7/2017,"100,000",20170705
BUY,1,0.406143819,0.125,0,432,-1,-0.01,0.11,IBI Group Holdings Ltd.,1547,Smithers Steven Paul,3/7/2017,"1,000,000",20170706
BUY,1,0.230298746,0.039373855,0,7217,1,0.04,0.1,Consun Pharmaceutical Group Ltd.,1681,Li Qian,3/7/2017,"344,000",20170705
BUY,1,0.252284559,0.049195305,0,1052,1,0.06,0.3,Hop Fung Group Holdings Ltd.,2320,Hui Sum Ping,3/7/2017,"392,000",20170707
BUY,1,0.146418211,0.018334591,0,1728,1,0.02,0.09,Meilleure Health International Industry Group Ltd.,2327,Zhou Xuzhou,3/7/2017,"660,000",20170704
BUY,1,1.109228873,0.138898419,0,1728,1,0.02,0.09,Meilleure Health International Industry Group Ltd.,2327,Liu Lailin,3/7/2017,"5,000,000",20170705
SELL,-1,3.345877972,0.418973191,0,1728,1,0.02,0.09,Meilleure Health International Industry Group Ltd.,2327,Zhou Xuzhou,3/7/2017,"15,082,000",20170705
BUY,1,0.262119126,0.043227666,0,1824,1,0.24,0.39,Eagle Nice (International) Holdings Ltd.,2368,Chung Yuk Sing,3/7/2017,"216,000",20170704
BUY,1,0.020613175,0.005414531,0,461,-1,-0.1,-0.05,Hong Kong Life Sciences and Technologies Group Ltd.,8085,Lin David Kao Kun,3/7/2017,"308,000",20170706
BUY,1,3.120620537,0.819703688,0,461,-1,-0.1,-0.05,Hong Kong Life Sciences and Technologies Group Ltd.,8085,Lin David Kao Kun,3/7/2017,"46,628,000",20170707
BUY,1,0.017411653,0.002014562,0,343,1,0.04,0.61,China Health Group Inc.,8225,GUO XIA,3/7/2017,"20,000",20171106
BUY,1,0.093209916,0.027,0,1620,1,0.05,0.08,Hypebeast Ltd.,8359,Lee Yuen Tung Janice,3/7/2017,"540,000",20170731
BUY,1,0.093209916,0.027,0,1620,1,0.05,0.08,Hypebeast Ltd.,8359,Ma Pak Wing Kevin,3/7/2017,"540,000",20170731
SELL,-1,0.057625894,0.009901382,1,113116,1,0.08,0.14,New World Development Co. Ltd.,17,DOO WAI HOI WILLIAM,4/7/2017,"1,000,000",20170707
BUY,1,0.191150314,0.041396271,0,2802,1,0.03,0.28,Get Nice Holdings Ltd.,64,Hung Hon Man,4/7/2017,"4,000,000",20170705
BUY,1,0.002188573,0.000144906,1,4141,-1,-0.09,-0.22,China Baoli Technologies Holdings Ltd.,164,Yeung Chun Wai Anthony,4/7/2017,"50,000",20171218
BUY,1,6.135325023,0.160599873,1,196,1,0.03,0.03,HKC International Holdings Ltd.,248,Chan Chung Yee Hubert,4/7/2017,"2,000,000",20170705
BUY,1,0.036200291,0.018240684,0,35330,1,0.11,0.39,BYD Electronic (International) Co. Ltd.,285,Wang Nian-qiang,4/7/2017,"411,000",20170705
BUY,1,0.526939283,0.012327259,0,644,1,0.05,0.11,Yau Lee Holdings Ltd.,406,Wong Ip Kuen,4/7/2017,"54,000",20170707
BUY,1,14.25370691,0.637565603,0,4139,1,0.05,0.13,China All Access (Holdings) Ltd.,633,Chan Yuen Ming,4/7/2017,"12,749,546",20170707
SELL,-1,0.095383658,0.028934919,1,1263,-1,-0.12,-0.13,Kin Yat Holdings Ltd.,638,"FUNG WAH CHEONG, VINCENT",4/7/2017,"126,000",20170718
SELL,-1,0.007205564,0.001362344,0,80009,-1,-0.06,0.16,Techtronic Industries Co. Ltd.,669,Langley Christopher Patrick,4/7/2017,"25,000",20170706
SELL,-1,0.231633089,0.004173184,0,2224,-1,-0.01,0.01,New Century Real Estate Investment Trust,1275,New Century Asset Management Limited,4/7/2017,"40,000",20170706
BUY,1,0.435770428,0.059805876,0,870,1,0.05,0.08,CW Group Holdings Ltd.,1322,Wong Koon Lup,4/7/2017,"430,000",20170707
BUY,1,0.155010161,0.022830459,0,3206,1,0.02,0.04,China Pioneer Pharma Holdings Ltd.,1345,LI XINZHOU,4/7/2017,"300,000",20170705
BUY,1,0.097405412,0.006846534,1,1709,1,0.14,-0.16,Best Food Holding Co. Ltd.,1488,LEUNG Kwai Kei,4/7/2017,"100,000",20170705
BUY,1,0.324915055,0.1,1,432,-1,-0.01,0.11,IBI Group Holdings Ltd.,1547,Smithers Steven Paul,4/7/2017,"800,000",20170710
